Wall time,Step,Value
1732929352.2242064,576,-39.171669006347656
1732929354.0893507,1152,-38.703182220458984
1732929355.9479427,1440,-38.44035720825195
1732929356.5592656,1536,-38.36246109008789
1732929358.4553535,1824,-38.78947067260742
1732929368.1869688,2400,-38.72639465332031
1732929388.4264715,3552,-39.207088470458984
1732929395.2704506,3936,-39.44932174682617
1732929398.7978024,4128,-39.156028747558594
1732929402.062437,4320,-39.38346862792969
1732929403.5427701,4416,-39.34312057495117
1732929406.8933325,4608,-39.51893615722656
1732929417.7026494,5184,-39.58673858642578
1732929419.6499386,5280,-39.5357780456543
1732929421.5797386,5376,-39.28632736206055
1732929423.4010043,5472,-39.122318267822266
1732929439.1895657,6336,-38.077842712402344
1732929444.2244914,6624,-37.88852310180664
1732929449.3450682,6912,-37.626380920410156
1732929450.920064,7008,-37.35868835449219
1732929452.5120418,7104,-37.246036529541016
1732929454.21746,7200,-37.11758041381836
1732929462.64851,7680,-36.98591613769531
1732929475.9419806,8448,-37.31584548950195
1732929488.3022869,9120,-36.678714752197266
1732929501.8849766,9888,-37.082637786865234
1732929506.959253,10176,-36.664642333984375
1732929508.6677947,10272,-36.71078872680664
1732929520.2299724,10944,-34.85932922363281
1732929528.7598279,11424,-34.320621490478516
1732929542.5555708,12192,-31.87980079650879
1732929548.1984484,12480,-31.303321838378906
1732929550.1840687,12576,-31.286907196044922
1732929566.7885215,13440,-30.800256729125977
1732929570.843364,13632,-30.6726131439209
1732929572.7881505,13728,-30.6031494140625
1732929574.6312716,13824,-30.558557510375977
1732929587.8777246,14496,-29.257137298583984
1732929597.204983,14976,-28.318750381469727
1732929601.0972602,15168,-28.030221939086914
1732929603.0574865,15264,-27.866304397583008
1732929610.5414195,15648,-27.476016998291016
1732929619.637407,16128,-27.246078491210938
1732929621.4735532,16224,-27.258262634277344
1732929626.7279882,16512,-27.28044319152832
1732929637.1830158,17088,-27.169748306274414
1732929638.9859376,17184,-26.993335723876953
1732929642.7139153,17376,-26.869335174560547
1732929648.382084,17664,-26.750595092773438
1732929652.2578404,17856,-26.540550231933594
1732929654.1399932,17952,-26.53037452697754
1732929658.0979936,18144,-26.14546012878418
1732929661.6896496,18336,-25.557226181030273
1732929663.42521,18432,-25.235576629638672
1732929677.5449502,19104,-24.68601417541504
1732929693.8844895,19872,-23.425006866455078
1732929695.8975918,19968,-23.470718383789062
1732929697.955014,20064,-23.29880714416504
1732929706.0515914,20448,-22.84040641784668
1732929725.5184014,21408,-21.60087776184082
1732929727.3979542,21504,-21.275056838989258
1732929731.3434713,21696,-21.261220932006836
1732929739.1494138,22080,-20.87285804748535
1732929744.7621272,22368,-21.89921760559082
1732929746.7850661,22464,-21.76628303527832
1732929748.684673,22560,-21.608043670654297
1732929754.3820188,22848,-21.410655975341797
1732929777.0480402,24000,-20.736143112182617
1732929789.1800847,24576,-19.157751083374023
1732929795.3160098,24864,-18.447967529296875
1732929799.2310424,25056,-18.47041893005371
1732929801.2854867,25152,-18.386857986450195
1732929805.402063,25344,-18.107194900512695
1732929813.6326349,25728,-17.388391494750977
1732929821.8996847,26112,-17.125883102416992
1732929825.9430938,26304,-17.0682315826416
1732929836.1167376,26784,-16.86837387084961
1732929866.0439045,28128,-14.850051879882812
1732929876.8040493,28608,-14.205342292785645
1732929878.988475,28704,-14.187353134155273
1732929887.7750678,29088,-12.99881362915039
1732929889.9632027,29184,-12.98559856414795
1732929898.8544042,29568,-11.712952613830566
1732929901.1340315,29664,-11.28745174407959
1732929905.5521162,29856,-10.792816162109375
1732929912.1165848,30144,-10.469082832336426
1732929923.069526,30624,-10.153800010681152
1732929925.3436563,30720,-9.787845611572266
1732929927.5370562,30816,-10.169519424438477
1732929938.3108127,31296,-10.447361946105957
1732929940.5076313,31392,-10.748682022094727
1732929942.6881034,31488,-10.650364875793457
1732929949.334219,31776,-11.3864107131958
1732929968.9965796,32640,-12.247958183288574
1732929973.2384202,32832,-12.328300476074219
1732929986.316277,33408,-11.177324295043945
1732930012.485411,34656,-9.890546798706055
1732930018.4558952,34944,-9.443951606750488
1732930026.6141422,35328,-10.004280090332031
1732930035.0517266,35712,-10.148755073547363
1732930039.4960425,35904,-10.104326248168945
1732930047.9987843,36288,-10.13554573059082
1732930050.1565747,36384,-10.090917587280273
1732930052.198532,36480,-10.059136390686035
1732930056.519007,36672,-9.992830276489258
1732930067.1606772,37152,-9.733428955078125
1732930077.6109378,37632,-9.41053295135498
1732930079.5738392,37728,-9.240594863891602
1732930113.2334778,39264,-8.42617416381836
1732930128.8265927,39936,-7.894598960876465
1732930141.9570308,40512,-7.850998401641846
1732930144.1915364,40608,-8.066505432128906
1732930148.6774826,40800,-8.19664192199707
1732930161.906144,41376,-8.57283878326416
1732930182.030056,42240,-9.215940475463867
1732930186.4850867,42432,-9.223615646362305
1732930188.7231908,42528,-9.354772567749023
1732930195.2853036,42816,-10.03147029876709
1732930208.4922478,43392,-9.864906311035156
1732930226.077343,44160,-9.956585884094238
1732930228.2592285,44256,-9.875395774841309
1732930234.4671752,44544,-9.699563026428223
1732930236.4367232,44640,-9.632939338684082
1732930254.6719608,45504,-9.901015281677246
1732930256.6817815,45600,-9.866936683654785
1732930280.6539907,46656,-9.505927085876465
1732930287.1852493,46944,-9.723331451416016
1732930289.3575487,47040,-9.776534080505371
1732930293.7780957,47232,-9.718518257141113
1732930298.1799374,47424,-9.575318336486816
1732930328.6342182,48768,-9.830717086791992
1732930339.513129,49248,-10.257014274597168
1732930343.8203995,49440,-10.565348625183105
1732930350.2336035,49728,-10.519488334655762
1732930354.8117378,49920,-10.736481666564941
1732930365.5817132,50400,-10.669157028198242
1732930367.7378237,50496,-10.911308288574219
1732930380.6304443,51072,-11.01492977142334
1732930385.0668187,51264,-10.761125564575195
1732930387.29092,51360,-10.541743278503418
1732930391.6282556,51552,-10.640827178955078
1732930393.8417044,51648,-10.567549705505371
1732930400.668289,51936,-10.367632865905762
1732930405.091587,52128,-10.620111465454102
1732930416.1833205,52608,-10.340323448181152
1732930418.4488983,52704,-10.340799331665039
1732930438.3477738,53568,-11.497363090515137
1732930442.8006325,53760,-11.81171989440918
1732930451.4108984,54144,-11.811346054077148
1732930453.6746323,54240,-12.17675495147705
1732930455.861525,54336,-12.037729263305664
1732930464.5848577,54720,-11.800436973571777
1732930472.9047163,55104,-11.62986946105957
1732930474.9945424,55200,-11.322371482849121
1732930481.2089643,55488,-11.61347484588623
1732930485.3323326,55680,-11.641655921936035
1732930489.3653011,55872,-11.327512741088867
1732930491.3720386,55968,-11.23190975189209
1732930493.316278,56064,-11.3062162399292
1732930495.3121846,56160,-11.237212181091309
1732930499.399059,56352,-11.34521484375
1732930501.6351175,56448,-11.497291564941406
1732930512.5778258,56928,-11.634013175964355
1732930514.826262,57024,-11.718626022338867
1732930529.6015081,57696,-11.851634979248047
1732930533.8420095,57888,-11.858304977416992
1732930547.0215044,58464,-13.179946899414062
1732930551.422722,58656,-13.324906349182129
1732930562.0271006,59136,-14.319215774536133
1732930572.9551127,59616,-13.488300323486328
1732930577.1814024,59808,-13.390877723693848
1732930603.8124921,60960,-10.87787914276123
1732930619.1397138,61632,-9.776232719421387
1732930621.487273,61728,-9.722616195678711
1732930625.8210917,61920,-10.214252471923828
1732930628.044385,62016,-10.245501518249512
1732930630.25894,62112,-10.274223327636719
1732930632.407001,62208,-10.615193367004395
1732930636.7903244,62400,-10.490720748901367
1732930643.5848756,62688,-10.577807426452637
1732930652.4324644,63072,-11.070435523986816
1732930654.652502,63168,-11.052410125732422
1732930663.510977,63552,-11.0533447265625
1732930670.1051137,63840,-11.076983451843262
1732930678.6810555,64224,-11.453965187072754
1732930685.2460482,64512,-11.1595458984375
1732930687.463657,64608,-10.866302490234375
1732930691.8208904,64800,-10.9860200881958
1732930694.0210404,64896,-11.226299285888672
1732930698.3656256,65088,-11.363114356994629
1732930700.5500185,65184,-11.354687690734863
1732930702.79076,65280,-11.29039192199707
1732930709.042848,65568,-11.170245170593262
1732930711.0834563,65664,-11.028038024902344
1732930713.1812491,65760,-10.929722785949707
1732930717.107468,65952,-10.972872734069824
1732930721.0132916,66144,-11.034682273864746
1732930722.9978297,66240,-11.049081802368164
1732930736.6098373,66912,-11.524494171142578
1732930742.8322673,67200,-11.523282051086426
1732930750.588185,67584,-11.468937873840332
1732930756.7408583,67872,-11.290210723876953
1732930760.8349843,68064,-11.378595352172852
1732930765.1997645,68256,-11.51968765258789
1732930773.6098223,68640,-11.451472282409668
1732930782.1852145,69024,-11.177616119384766
1732930788.6321352,69312,-11.345547676086426
1732930790.7521448,69408,-11.558971405029297
1732930792.956255,69504,-11.512988090515137
1732930794.905821,69600,-11.388750076293945
1732930806.9418387,70176,-11.233875274658203
1732930819.2036734,70752,-11.65651798248291
1732930823.2182105,70944,-11.565516471862793
1732930825.0960438,71040,-11.517542839050293
1732930833.6260693,71424,-11.462475776672363
1732930839.8402758,71712,-12.055109024047852
1732930841.876786,71808,-12.11670970916748
1732930847.748813,72096,-12.629975318908691
1732930849.704793,72192,-12.78516674041748
1732930851.6836894,72288,-12.674132347106934
1732930855.7743533,72480,-12.456851959228516
1732930859.584647,72672,-12.41645622253418
1732930872.132633,73248,-12.3897066116333
1732930877.914001,73536,-12.65539836883545
1732930880.0451653,73632,-12.522981643676758
1732930886.453766,73920,-11.944920539855957
1732930888.4923487,74016,-11.887974739074707
1732930890.5763352,74112,-11.650531768798828
1732930894.7179232,74304,-11.217713356018066
1732930896.7063372,74400,-11.47544002532959
1732930908.8430295,74976,-11.814566612243652
1732930917.2114198,75360,-12.254968643188477
1732930919.2824454,75456,-12.109919548034668
1732930923.31784,75648,-12.945375442504883
1732930927.3723006,75840,-12.724353790283203
1732930931.2571294,76032,-12.998234748840332
1732930933.3315012,76128,-12.828682899475098
1732930935.3234782,76224,-13.178664207458496
1732930937.3175871,76320,-13.261484146118164
