Step,dqn_gnn_noas_ts_100k,dqn_gnn_noas_bounds_ts_100k,dqn_mlp_as_ts_100k,dqn_mlp_noas_nobounds_no_feat_extr_ts_100k,dqn_mlp_noas_nobounds_ts_100k,dqn_mlp_noas_ts_100k,Step_for_mn,dqn_mlp_as_ts_1mn
96,-38.3480529785156,-42.7012825012207,-39.1000480651856,-38.2474555969238,-37.3266143798828,-33.5495262145996,480,-39.6837196350098
192,-41.5353584289551,-41.5667037963867,-38.8990287780762,-40.0779075622559,-39.3409309387207,-38.124195098877,1824,-38.5574569702148
288,-41.199275970459,-41.2353668212891,-38.372974395752,-39.4725227355957,-40.5919494628906,-37.2363128662109,2592,-39.1057548522949
384,-40.5265998840332,-41.3810195922852,-37.0712280273438,-38.9319915771484,-40.1282119750977,-37.1746139526367,2688,-39.0009803771973
480,-40.6639404296875,-40.298023223877,-37.6029968261719,-39.4292793273926,-40.8315124511719,-38.2653160095215,3936,-39.0353050231934
576,-40.4457817077637,-39.7568664550781,-37.4623603820801,-38.9584350585938,-40.9700508117676,-37.9208526611328,4608,-39.4198989868164
672,-40.3980979919434,-39.1745491027832,-37.3215446472168,-38.4028205871582,-40.8976516723633,-38.4946594238281,4704,-39.5324554443359
768,-40.2183837890625,-38.9281616210938,-37.7408981323242,-38.1899452209473,-41.3232536315918,-38.0204811096191,6048,-40.0836868286133
864,-40.2614974975586,-38.987434387207,-37.5996398925781,-38.148307800293,-40.7846794128418,-38.0623512268066,6144,-40.0863075256348
960,-40.6211433410645,-38.8995056152344,-37.6172866821289,-38.3025093078613,-40.4661636352539,-37.9671859741211,6528,-39.8350067138672
1056,-40.4911804199219,-38.5141181945801,-37.4214630126953,-38.2981071472168,-40.5400848388672,-38.3941688537598,6912,-39.7198333740234
1152,-40.208366394043,-38.5859451293945,-37.3328247070313,-38.1360893249512,-40.7620887756348,-39.0071449279785,7488,-40.1448097229004
1344,-39.9007682800293,-39.2129325866699,-37.5251235961914,-38.0883026123047,-40.8070640563965,-38.7368278503418,7968,-39.8136596679688
1440,-40.0242919921875,-39.426815032959,-37.7856750488281,-37.9968376159668,-41.0996398925781,-38.8115158081055,8640,-39.3745193481445
1536,-39.8873901367188,-39.5377426147461,-37.8440895080566,-38.0661697387695,-41.1002540588379,-38.7667846679688,9600,-39.0115356445313
1632,-39.7953605651856,-39.5911598205566,-37.9941482543945,-38.3484802246094,-41.0339202880859,-38.6105270385742,9984,-39.1076202392578
1728,-39.5997200012207,-39.5580253601074,-38.2423667907715,-38.3342132568359,-41.1701583862305,-38.7930526733398,10368,-39.4818954467773
1824,-39.5493850708008,-39.3775253295898,-38.2455558776856,-38.4377708435059,-41.2954330444336,-38.6750221252441,11712,-38.3544692993164
1920,-39.5181579589844,-39.5124130249023,-38.4761009216309,-38.3570327758789,-41.1861267089844,-38.7840042114258,12096,-38.2075538635254
2016,-39.5894012451172,-39.4834938049316,-38.4207344055176,-38.6536331176758,-41.0232086181641,-38.5939483642578,12192,-38.1722602844238
2112,-39.5022392272949,-39.7046356201172,-38.3882484436035,-38.9261054992676,-40.8736076354981,-38.8212776184082,12384,-37.7422027587891
2208,-39.5170707702637,-39.7080459594727,-38.3497657775879,-38.9458808898926,-40.8371658325195,-38.9252967834473,12576,-37.4545555114746
2304,-39.5767364501953,-39.6489868164063,-38.3855361938477,-39.1532325744629,-40.668025970459,-38.6941108703613,13152,-37.0918846130371
2496,-39.4625930786133,-39.3986434936523,-38.5626335144043,-39.2501068115234,-40.8037147521973,-38.7095184326172,13920,-37.8522071838379
2592,-39.4809799194336,-39.3670043945313,-38.4940567016602,-39.1587028503418,-40.6708106994629,-38.7640342712402,14208,-38.0342903137207
2688,-39.5871620178223,-39.2424354553223,-38.603328704834,-39.0991744995117,-40.5002174377441,-38.8097877502441,15168,-38.1129531860352
2784,-39.6137390136719,-39.2687911987305,-38.6591033935547,-39.0516052246094,-40.4474639892578,-38.8921890258789,15456,-38.2098236083984
2880,-39.7413520812988,-39.3065719604492,-38.7039108276367,-38.951717376709,-40.1680450439453,-38.6893272399902,15648,-37.6037063598633
2976,-40.0613975524902,-39.6450080871582,-38.7924003601074,-38.8119316101074,-39.8543510437012,-38.6464500427246,15840,-37.2957344055176
3072,-39.9385948181152,-39.7466087341309,-39.0327453613281,-38.9001235961914,-39.585075378418,-38.5238761901856,16608,-37.0172729492188
