Step,dqn_gnn_noas_ts_100k,dqn_gnn_noas_bounds_ts_100k,dqn_mlp_as_ts_100k,dqn_mlp_noas_nobounds_no_feat_extr_ts_100k,dqn_mlp_noas_nobounds_ts_100k,dqn_mlp_noas_ts_100k,Step_for_mn,dqn_mlp_as_ts_1mn,Steps,dqn_gnn_fe_plus_net_arch,dqn_gnn_single_policy,dqn_gnn_fe_load_profile_1,dqn_gnn_sp_load_1
96,-38.3480529785156,-42.7012825012207,-39.1000480651856,-38.2474555969238,-37.3266143798828,-33.5495262145996,480,-39.6837196350098,384,-39.3704147338867,-40.1447563171387,-38.1056671142578,-38.6703033447266
192,-41.5353584289551,-41.5667037963867,-38.8990287780762,-40.0779075622559,-39.3409309387207,-38.124195098877,1824,-38.5574569702148,480,-39.0443229675293,-40.0791854858398,-40.6518020629883,-42.395320892334
288,-41.199275970459,-41.2353668212891,-38.372974395752,-39.4725227355957,-40.5919494628906,-37.2363128662109,2592,-39.1057548522949,1056,-38.4570236206055,-39.7727699279785,-40.4571914672852,-42.7507781982422
384,-40.5265998840332,-41.3810195922852,-37.0712280273438,-38.9319915771484,-40.1282119750977,-37.1746139526367,2688,-39.0009803771973,1440,-38.3994178771973,-39.1653594970703,-39.6520080566406,-41.6363296508789
480,-40.6639404296875,-40.298023223877,-37.6029968261719,-39.4292793273926,-40.8315124511719,-38.2653160095215,3936,-39.0353050231934,1536,-38.4168128967285,-39.0843505859375,-39.3493156433106,-41.0885391235352
576,-40.4457817077637,-39.7568664550781,-37.4623603820801,-38.9584350585938,-40.9700508117676,-37.9208526611328,4608,-39.4198989868164,1824,-38.4985389709473,-39.059268951416,-40.2741432189941,-40.6490058898926
672,-40.3980979919434,-39.1745491027832,-37.3215446472168,-38.4028205871582,-40.8976516723633,-38.4946594238281,4704,-39.5324554443359,1920,-38.6200752258301,-39.1704597473145,-40.0325584411621,-40.1560668945313
768,-40.2183837890625,-38.9281616210938,-37.7408981323242,-38.1899452209473,-41.3232536315918,-38.0204811096191,6048,-40.0836868286133,2016,-38.653507232666,-39.1779251098633,-40.0657234191895,-40.1856231689453
864,-40.2614974975586,-38.987434387207,-37.5996398925781,-38.148307800293,-40.7846794128418,-38.0623512268066,6144,-40.0863075256348,2208,-38.7444458007813,-39.1827964782715,-40.1338119506836,-40.328971862793
960,-40.6211433410645,-38.8995056152344,-37.6172866821289,-38.3025093078613,-40.4661636352539,-37.9671859741211,6528,-39.8350067138672,2304,-38.7562103271484,-39.1226119995117,-40.1737861633301,-39.8635139465332
